Variable,Description,Interest,dType,
LoanKey,Unique key for each loan. This is the same key that is used in the API. ,0,,
TotalProsperLoans,Number of Prosper loans the borrower at the time they created this listing. This value will be null if the borrower had no prior loans. ,0,,
TotalProsperPaymentsBilled,Number of on time payments the borrower made on Prosper loans at the time they created this listing. This value will be null if the borrower had no prior loans.,0,,
OnTimeProsperPayments,Number of on time payments the borrower had made on Prosper loans at the time they created this listing. This value will be null if the borrower has no prior loans.,0,,
ProsperPaymentsLessThanOneMonthLate,Number of payments the borrower made on Prosper loans that were less than one month late at the time they created this listing. This value will be null if the borrower had no prior loans. ,0,,
ProsperPaymentsOneMonthPlusLate,Number of payments the borrower made on Prosper loans that were greater than one month late at the time they created this listing. This value will be null if the borrower had no prior loans.,0,,
ProsperPrincipalBorrowed,Total principal borrowed on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.,0,,
ProsperPrincipalOutstanding,Principal outstanding on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.,0,,
ScorexChangeAtTimeOfListing,Borrower's credit score change at the time the credit profile was pulled. This will be the change relative to the borrower's last Prosper loan. This value will be null if the borrower had no prior loans.,0,,
LoanCurrentDaysDelinquent,The number of days delinquent. ,0,,
LoanFirstDefaultedCycleNumber,The cycle the loan was charged off. If the loan has not charged off the value will be null. ,0,,
LoanMonthsSinceOrigination,Number of months since the loan originated.,0,,
LoanNumber,Unique numeric value associated with the loan.,0,,
LoanOriginalAmount,The origination amount of the loan.,1,numeric,
LoanOriginationDate,The date the loan was originated.,0,,
LoanOriginationQuarter,The quarter in which the loan was originated.,0,,
MemberKey,The unique key that is associated with the borrower. This is the same identifier that is used in the API member object. ,0,,
MonthlyLoanPayment,The scheduled monthly loan payment.,0,,
LP_CustomerPayments,"Pre charge-off cumulative gross payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries.",0,,
LP_CustomerPrincipalPayments,"Pre charge-off cumulative principal payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries.",0,,
LP_InterestandFees,"Pre charge-off cumulative interest and fees paid by the borrower. If the loan has charged off, this value will exclude any recoveries.",0,,
LP_ServiceFees,Cumulative service fees paid by the investors who have invested in the loan. ,0,,
LP_CollectionFees,Cumulative collection fees paid by the investors who have invested in the loan.,0,,
LP_GrossPrincipalLoss,The gross charged off amount of the loan.,0,,
LP_NetPrincipalLoss,The principal that remains uncollected after any recoveries.,0,,
LP_NonPrincipalRecoverypayments,"The interest and fee component of any recovery payments. The current payment policy applies payments in the following order: Fees, interest, principal.",0,,
PercentFunded,Percent the listing was funded.,0,,
Recommendations,Number of recommendations the borrower had at the time the listing was created.,0,,
InvestmentFromFriendsCount,Number of friends that made an investment in the loan.,0,,
InvestmentFromFriendsAmount,Dollar amount of investments that were made by friends.,0,,
Investors,The number of investors that funded the loan.,1,numeric,
